time,현재생활형편_부산,현재생활형편_경기,현재생활형편_강원,현재생활형편_전북,현재경기판단_부산,현재경기판단_경기,현재경기판단_강원,현재경기판단_전북,향후경기전망_부산,향후경기전망_경기,향후경기전망_강원,향후경기전망_전북,취업기회전망_부산,취업기회전망_경기,취업기회전망_강원,취업기회전망_전북,소비지출전망_부산,소비지출전망_경기,소비지출전망_강원,소비지출전망_전북,교육비지출전망_부산,교육비지출전망_경기,교육비지출전망_강원,교육비지출전망_전북,물가수준전망_부산,물가수준전망_경기,물가수준전망_강원,물가수준전망_전북
2009-12-31,84.75,88.25,88.75,90.66666666666667,79.66666666666667,85.91666666666667,84.58333333333333,83.58333333333333,99.25,102.08333333333333,104.08333333333333,100.25,81.91666666666667,82.08333333333333,83.83333333333333,82.58333333333333,96.58333333333333,105.66666666666667,98.83333333333333,102.08333333333333,102.83333333333333,109.41666666666667,106.41666666666667,105.41666666666667,132.75,135.0,135.5,132.75
2010-12-31,93.75,94.66666666666667,93.58333333333333,96.41666666666667,98.91666666666667,100.58333333333333,100.66666666666667,101.5,108.25,108.33333333333333,112.25,109.33333333333333,97.66666666666667,99.16666666666667,102.0,100.16666666666667,108.83333333333333,115.5,111.08333333333333,111.08333333333333,108.58333333333333,116.5,111.83333333333333,110.08333333333333,136.75,140.25,138.0,138.25
2011-12-31,86.0,86.41666666666667,88.33333333333333,90.25,73.41666666666667,75.0,73.66666666666667,78.41666666666667,84.25,84.41666666666667,87.5,87.91666666666667,88.33333333333333,89.66666666666667,92.0,93.41666666666667,109.33333333333333,111.83333333333333,112.66666666666667,109.58333333333333,109.0,115.83333333333333,114.5,110.41666666666667,146.5,149.83333333333334,144.25,142.91666666666666
2012-12-31,86.33333333333333,85.83333333333333,87.25,89.08333333333333,67.41666666666667,69.66666666666667,69.66666666666667,72.0,81.41666666666667,81.83333333333333,83.25,82.83333333333333,83.41666666666667,85.25,87.16666666666667,88.08333333333333,104.75,109.25,107.16666666666667,107.08333333333333,107.08333333333333,112.0,107.33333333333333,109.41666666666667,139.91666666666666,138.33333333333334,138.16666666666666,133.91666666666666
2013-12-31,88.41666666666667,91.91666666666667,91.91666666666667,91.08333333333333,77.08333333333333,79.0,81.33333333333333,74.91666666666667,95.08333333333333,94.5,97.66666666666667,89.5,92.91666666666667,91.66666666666667,94.66666666666667,90.25,104.83333333333333,106.25,106.91666666666667,106.5,102.25,105.91666666666667,102.0,101.58333333333333,135.41666666666666,135.66666666666666,134.25,135.58333333333334
2014-12-31,89.83333333333333,91.75,92.16666666666667,93.5,79.33333333333333,81.75,83.58333333333333,77.75,95.08333333333333,95.91666666666667,99.25,91.16666666666667,91.16666666666667,92.08333333333333,94.41666666666667,90.25,104.58333333333333,108.16666666666667,109.66666666666667,108.66666666666667,103.58333333333333,109.25,104.83333333333333,104.25,134.41666666666666,132.66666666666666,133.33333333333334,133.16666666666666
2015-12-31,87.75,91.66666666666667,94.33333333333333,92.83333333333333,72.0,75.83333333333333,79.0,72.75,87.16666666666667,88.83333333333333,92.75,85.16666666666667,84.83333333333333,85.25,89.25,83.83333333333333,102.25,106.66666666666667,109.08333333333333,105.58333333333333,101.41666666666667,108.83333333333333,105.91666666666667,104.83333333333333,130.66666666666666,128.5,132.41666666666666,130.08333333333334
2016-12-31,88.91666666666667,91.25,94.5,91.25,64.41666666666667,70.58333333333333,72.25,67.58333333333333,75.33333333333333,79.0,82.75,76.91666666666667,74.91666666666667,77.58333333333333,79.0,77.16666666666667,99.0,106.91666666666667,108.83333333333333,103.66666666666667,99.91666666666667,109.41666666666667,105.83333333333333,105.91666666666667,135.41666666666666,132.33333333333334,133.75,130.83333333333334
2017-12-31,88.0,93.16666666666667,94.33333333333333,94.83333333333333,74.5,81.83333333333333,81.25,82.58333333333333,91.58333333333333,96.33333333333333,95.16666666666667,97.33333333333333,92.0,96.25,96.08333333333333,100.08333333333333,101.33333333333333,109.41666666666667,109.16666666666667,106.5,101.25,108.83333333333333,105.25,107.25,140.08333333333334,139.58333333333334,137.75,134.33333333333334
2018-12-31,86.25,94.0,92.75,94.41666666666667,70.08333333333333,80.0,78.58333333333333,82.75,82.5,90.33333333333333,88.66666666666667,94.75,80.91666666666667,87.16666666666667,85.75,92.83333333333333,101.91666666666667,110.0,109.83333333333333,108.25,100.33333333333333,106.5,104.08333333333333,103.33333333333333,143.58333333333334,141.33333333333334,140.33333333333334,135.08333333333334
2019-12-31,85.66666666666667,92.75,89.33333333333333,92.33333333333333,63.416666666666664,71.0,68.33333333333333,74.58333333333333,72.83333333333333,77.33333333333333,74.91666666666667,83.41666666666667,74.75,79.58333333333333,77.16666666666667,85.66666666666667,102.0,108.5,106.41666666666667,107.5,97.91666666666667,104.41666666666667,98.75,98.41666666666667,134.41666666666666,137.91666666666666,131.58333333333334,130.5
2020-12-31,76.75,86.91666666666667,82.5,86.91666666666667,46.833333333333336,53.25,51.833333333333336,58.916666666666664,72.0,75.16666666666667,70.41666666666667,80.16666666666667,68.41666666666667,70.33333333333333,66.58333333333333,77.41666666666667,95.66666666666667,98.0,95.91666666666667,98.16666666666667,81.75,97.25,96.16666666666667,95.33333333333333,129.5,133.83333333333334,127.58333333333333,124.5
2021-12-31,84.58333333333333,92.25,85.66666666666667,90.41666666666667,70.41666666666667,78.08333333333333,69.75,78.41666666666667,89.91666666666667,95.83333333333333,85.08333333333333,96.5,84.5,89.5,80.25,90.83333333333333,104.16666666666667,108.91666666666667,103.58333333333333,106.66666666666667,86.58333333333333,101.83333333333333,97.91666666666667,97.58333333333333,144.08333333333334,146.0,140.58333333333334,137.25
2022-12-31,83.41666666666667,87.58333333333333,85.91666666666667,87.33333333333333,58.583333333333336,59.333333333333336,59.916666666666664,63.333333333333336,72.25,71.0,71.41666666666667,71.91666666666667,81.75,81.91666666666667,79.83333333333333,79.75,107.33333333333333,111.58333333333333,109.41666666666667,108.41666666666667,93.91666666666667,100.16666666666667,98.08333333333333,97.25,151.41666666666666,155.91666666666666,149.66666666666666,146.5
