,GNI,GNI 증감률,전체_사교육비,초등학교_사교육비,중학교_사교육비,고등학교_사교육비,GDP디플레이터_증감률,총지수_증감률,생활물가지수_증감률,신선식품지수_증감률,조혼인율,조이혼율,여성초혼 연령,국공립 어린이집 비율,여성경제 활동참가율,수도권_인구밀도,부산_인구밀도,출생아수,초등학교,중학교,고등학교,대학교
1960-01-01,,,,,,,,,,,,,,,,,,,3629000,1566000,1417000,1941000
1961-01-01,136.0,2.7,,,,,,,,,,,,,,,,,3881000,1629000,1407000,1944000
1962-01-01,138.0,1.1,,,,,,,,,,,,,,,,,4161000,1631000,1459000,1942000
1963-01-01,149.0,8.2,,,,,,,,,,,,,,,,,4442000,1637000,1551000,1900000
1964-01-01,157.0,5.2,,,,,,,,,,,,,,,,,4731000,1715000,1615000,1865000
1965-01-01,165.0,5.2,,,,,,,,,,,,,,,,,5057000,1815000,1618000,1913000
1966-01-01,182.0,10.0,,,,,,,,,,,,,,,,,5336000,1954000,1625000,1991000
1967-01-01,196.0,7.9,,,,,,,,,,,,,,,,,5501000,2126000,1703000,2064000
1968-01-01,217.0,10.5,,,,,,,,,,,,,,,,,5632000,2304000,1802000,2123000
1969-01-01,242.0,11.6,,,,,,,,,,,,,,,,,5720000,2453000,1933000,2159000
1970-01-01,256.0,5.7,,,,,,,,,,,,,,798.0,6023.0,1007000.0,5711000,2574000,2101000,2218000
1971-01-01,273.0,6.8,,,,,,,,,,,,,,831.0,6338.0,1025000.0,5583000,2683000,2275000,2287000
1972-01-01,285.0,4.4,,,,,,,,,,,,,,857.0,6083.0,953000.0,5481000,2827000,2422000,2449000
1973-01-01,321.0,12.4,,,,,,,,,,,,,,881.0,6362.0,966000.0,5398000,2865000,2519000,2647000
1974-01-01,336.0,4.6,,,,,,,,,,,,,,915.0,6674.0,923000.0,5348000,2842000,2628000,2814000
1975-01-01,345.0,2.7,,,,,,,,,,,,,,952.0,6979.0,874000.0,5331000,2819000,2738000,2995000
1976-01-01,397.0,15.3,,,,,,,,,,,,,,993.0,7325.0,796000.0,5346000,2765000,2799000,3165000
1977-01-01,445.0,12.1,,,,,,,,,,,,,,1035.0,8337.0,825000.0,5413000,2698000,2808000,3295000
1978-01-01,493.0,10.7,,,,,,,,,,,,,,1075.0,6941.0,751000.0,5483000,2631000,2785000,3432000
1979-01-01,523.0,6.1,,,,,,,,,,,,,,1120.0,7322.0,863000.0,5513000,2592000,2737000,3553000
1980-01-01,486.0,-7.1,,,,,,,,,,,,,,1160.0,7648.0,863000.0,5499000,2599000,2671000,3632000
1981-01-01,505.0,3.9,,,,,,,,,,,,,,1197.0,7854.0,867000.0,5405000,2657000,2595000,3636000
1982-01-01,546.0,8.1,,,,,,,,,,,,,,1239.0,8006.0,848000.0,5268000,2728000,2565000,3566000
1983-01-01,614.0,12.3,,,,,,,,,,,,,,1284.0,8123.0,769000.0,5116000,2785000,2585000,3487000
1984-01-01,670.0,9.2,,,,,,,,,,,,,,1330.0,8243.0,675000.0,4973000,2806000,2642000,3426000
1985-01-01,708.0,5.8,,,,,,,,,,,,,,1368.0,8349.0,655000.0,4863000,2780000,2709000,3395000
1986-01-01,799.0,12.8,,,,,,,,,,,,,,1405.0,8447.0,636000.0,4804000,2714000,2766000,3391000
1987-01-01,910.0,13.8,,,,,,,,,,,,,,1445.0,8560.0,624000.0,4818000,2624000,2783000,3438000
1988-01-01,1021.0,12.3,,,,,,,,,,,,,,1486.0,8659.0,633000.0,4865000,2509000,2759000,3513000
1989-01-01,1100.0,7.7,,,,,,,,,,,,,,1528.0,7231.0,639000.0,4883000,2394000,2708000,3597000
1990-01-01,1192.0,8.4,,,,,,,,,9.3,1.1,24.78,,,1568.0,7185.0,650000.0,4786000,2317000,2595000,3663000
1991-01-01,1310.0,9.8,,,,,9.1,,,,9.6,1.1,24.84,,,1599.0,7208.0,709000.0,4663000,2313000,2481000,3658000
1992-01-01,1375.0,5.0,,,,,7.8,,,,9.6,1.2,24.93,,,1634.0,7240.0,731000.0,4482000,2364000,2379000,3600000
1993-01-01,1460.0,6.1,,,,,6.3,,,,9.0,1.3,25.01,,,1668.0,7229.0,716000.0,4266000,2438000,2311000,3493000
1994-01-01,1581.0,8.3,,,,,8.2,,,,8.7,1.4,25.14,,,1704.0,7241.0,721000.0,4058000,2480000,2302000,3358000
1995-01-01,1702.0,7.7,,,,,7.0,,,,8.7,1.5,25.32,11.32636214,48.4,1748.0,5144.0,715000.0,3901000,2443000,2349000,3225000
1996-01-01,1798.0,5.6,,,,,4.1,4.9,6.0,-3.2,9.4,1.7,25.45,8.918829559,48.9,1771.0,5106.0,691000.0,3822000,2343000,2459000,3088000
1997-01-01,1853.0,3.1,,,,,4.0,4.4,6.1,8.3,8.4,2.0,25.71,7.531707317,49.8,1794.0,5065.0,675400.0,3823000,2179000,2500000,3044000
1998-01-01,1699.0,-8.3,,,,,4.5,7.5,11.1,8.2,8.0,2.5,26.02,7.145697245,47.1,1812.0,5012.0,641600.0,3887000,2033000,2459000,3091000
1999-01-01,1868.0,9.9,,,,,-1.2,0.8,2.4,8.7,7.6,2.5,26.29,7.086530264,47.6,1831.0,4949.0,620700.0,3981000,1926000,2330000,3196000
2000-01-01,1972.0,5.6,,,,,1.0,2.3,3.7,-2.0,7.0,2.5,26.49,6.718198796,48.8,1858.0,4912.0,640100.0,4073000,1869000,2166000,3275000
2001-01-01,2034.0,3.2,,,,,3.5,4.1,5.1,7.2,6.7,2.8,26.78,6.498482361,49.4,1885.0,4877.0,559900.0,4150000,1847000,2014000,3267000
2002-01-01,2197.0,8.0,,,,,3.0,2.8,2.5,9.3,6.3,3.0,27.01,6.005328035,49.9,1914.0,4830.0,496900.0,4192000,1863000,1902000,3158000
2003-01-01,2244.0,2.1,,,,,3.5,3.5,4.0,7.0,6.3,3.4,27.27,5.504929169,49.1,1942.0,4782.0,495000.0,4186000,1913000,1846000,2971000
2004-01-01,2331.0,3.9,,,,,3.1,3.6,4.9,8.0,6.4,2.9,27.52,5.014310672,50.1,1964.0,4750.0,477000.0,4118000,1993000,1824000,2766000
2005-01-01,2383.0,2.2,,,,,1.0,2.8,4.0,1.8,6.5,2.6,27.72,5.192653435,50.3,1981.0,4699.0,438700.0,4018000,2064000,1841000,2596000
2006-01-01,2465.0,3.4,,,,,-0.2,2.2,3.1,1.0,6.8,2.5,27.79,5.620360551,50.5,2003.0,4658.0,451800.0,3919000,2104000,1888000,2497000
2007-01-01,2592.0,5.2,22.2,22.7,23.4,19.7,2.4,2.5,3.2,4.5,7.0,2.5,28.09,5.665024631,50.5,2024.0,4619.0,496800.0,3808000,2095000,1966000,2465000
2008-01-01,2582.0,-0.4,23.3,24.2,24.1,20.6,2.8,4.7,5.3,-5.8,6.6,2.4,28.32,5.450908982,50.2,2048.0,4588.0,465900.0,3631000,2070000,2039000,2471000
2009-01-01,2633.0,2.0,24.2,24.5,26.0,21.7,3.6,2.8,2.1,7.6,6.2,2.5,28.71,5.392405063,49.3,2061.0,4566.0,444800.0,3446000,2034000,2089000,2514000
2010-01-01,2808.0,6.7,24.0,24.5,25.5,21.8,2.7,2.9,3.4,21.3,6.5,2.3,28.91,5.34967518,49.6,2070.0,4531.0,470200.0,3280000,1985000,2084000,2601000
2011-01-01,2832.0,0.8,24.0,24.1,26.2,21.8,1.3,4.0,4.4,6.3,6.6,2.3,29.14,5.310978365,49.8,2088.0,4524.0,471300.0,3109000,1914000,2062000,2700000
2012-01-01,2900.0,2.4,23.6,21.9,27.6,22.4,1.3,2.2,1.7,5.9,6.5,2.3,29.41,5.180238437,50.1,2099.0,4498.0,484600.0,2926000,1867000,2028000,2769000
2013-01-01,2998.0,3.4,23.9,23.2,26.7,22.3,1.0,1.3,0.7,-1.3,6.4,2.3,29.59,5.327850126,50.3,2111.0,4489.0,436500.0,2783000,1818000,1985000,2811000
2014-01-01,3083.0,2.8,24.2,23.2,27.0,23.0,0.9,1.3,0.8,-9.3,6.0,2.3,29.81,5.690183348,51.5,2124.0,4485.0,435400.0,2751000,1719000,1912000,2799000
2015-01-01,3260.0,5.8,24.4,23.1,27.5,23.6,3.2,0.7,-0.2,2.1,5.9,2.1,29.96,6.183408989,51.9,2134.0,4484.0,438400.0,2720000,1578000,1868000,2755000
2016-01-01,3391.0,4.0,25.6,24.1,27.5,26.2,2.0,1.0,0.7,6.5,5.5,2.1,30.11,6.958913446,52.2,2139.0,4477.0,406200.0,2688000,1458000,1816000,2710000
2017-01-01,3493.0,3.0,27.2,25.3,29.1,28.5,2.2,1.9,2.5,6.2,5.2,2.1,30.24,7.845817387,52.7,2149.0,4447.0,357800.0,2719000,1385000,1715000,2642000
2018-01-01,3532.0,1.1,29.1,26.3,31.2,32.1,0.5,1.5,1.6,3.6,5.0,2.1,30.4,9.195578362,52.9,2164.0,4420.0,326800.0,2756000,1340000,1574000,2593000
2019-01-01,3532.0,0.0,32.1,29.0,33.8,36.5,-0.8,0.4,0.2,-5.1,4.7,2.2,30.59,11.57046908,53.5,2179.0,4391.0,302700.0,2766000,1319000,1453000,2537000
2020-01-01,3530.0,-0.1,30.2,23.5,34.2,39.6,1.6,0.5,0.4,9.0,4.2,2.1,30.78,13.00633628,52.8,2193.0,4358.0,272300.0,2724000,1364000,1390000,2410000
2021-01-01,3659.0,3.7,36.7,32.8,39.2,41.9,2.8,2.5,3.2,6.2,3.8,2.0,31.08,16.35384708,53.3,2195.0,4320.0,260600.00000000003,2718000,1379000,1344000,2258000
2022-01-01,3642.0,-0.5,41.0,37.2,43.8,46.0,1.3,5.1,6.0,5.4,3.7,1.8,31.26,18.7594994,54.6,2195.0,4278.0,249100.0,2701000,1366000,1322000,2093000
