"가정별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
"중위","남자","0세",0.00233,0.00222,0.00209,0.00199,0.00189,0.00180,0.00172,0.00164,0.00158,0.00150,0.00142,0.00136,0.00129,0.00125,0.00119,0.00114,0.00109,0.00105,0.00099,0.00095,0.00091,0.00088,0.00084,0.00081,0.00078,0.00075,0.00072,0.00070,0.00068,0.00065,0.00062,0.00059,0.00058,0.00056,0.00054,0.00052,0.00050,0.00048,0.00046,0.00044,0.00043,0.00041,0.00040,0.00039,0.00037,0.00036,0.00034,0.00033,0.00032
"중위","남자","1세",0.00015,0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","2세",0.00013,0.00013,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","3세",0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","4세",0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","5세",0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","6세",0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","7세",0.00006,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","8세",0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","9세",0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","10세",0.00006,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","11세",0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","12세",0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","남자","13세",0.00011,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","14세",0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","남자","15세",0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
"중위","남자","16세",0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003
"중위","남자","17세",0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00020,0.00019,0.00018,0.00017,0.00017,0.00016,0.00015,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00011,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004
"중위","남자","18세",0.00029,0.00027,0.00026,0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00017,0.00016,0.00015,0.00015,0.00014,0.00013,0.00013,0.00012,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
"중위","남자","19세",0.00031,0.00030,0.00028,0.00027,0.00026,0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00016,0.00016,0.00015,0.00015,0.00014,0.00013,0.00013,0.00012,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005
"중위","남자","20세",0.00033,0.00032,0.00030,0.00029,0.00028,0.00026,0.00025,0.00024,0.00024,0.00023,0.00022,0.00021,0.00020,0.00019,0.00018,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005
"중위","남자","21세",0.00036,0.00034,0.00033,0.00031,0.00030,0.00029,0.00028,0.00026,0.00026,0.00024,0.00023,0.00022,0.00022,0.00021,0.00020,0.00019,0.00018,0.00018,0.00017,0.00016,0.00016,0.00015,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006
"중위","여자","0세",0.00194,0.00185,0.00176,0.00168,0.00160,0.00151,0.00146,0.00139,0.00133,0.00128,0.00123,0.00116,0.00113,0.00108,0.00101,0.00098,0.00093,0.00089,0.00086,0.00082,0.00080,0.00076,0.00074,0.00070,0.00068,0.00065,0.00063,0.00061,0.00059,0.00056,0.00054,0.00051,0.00049,0.00047,0.00046,0.00044,0.00043,0.00041,0.00041,0.00039,0.00038,0.00036,0.00034,0.00033,0.00033,0.00031,0.00030,0.00029,0.00028
"중위","여자","1세",0.00012,0.00012,0.00011,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","여자","2세",0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001
"중위","여자","3세",0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","4세",0.00006,0.00006,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","5세",0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","6세",0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","7세",0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","8세",0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","9세",0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","10세",0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","11세",0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","12세",0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
"중위","여자","13세",0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00001
"중위","여자","14세",0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","여자","15세",0.00013,0.00013,0.00012,0.00012,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
"중위","여자","16세",0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00002
"중위","여자","17세",0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
"중위","여자","18세",0.00018,0.00017,0.00017,0.00016,0.00015,0.00014,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
"중위","여자","19세",0.00021,0.00020,0.00019,0.00019,0.00018,0.00017,0.00017,0.00016,0.00015,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00003
"중위","여자","20세",0.00025,0.00024,0.00023,0.00022,0.00021,0.00020,0.00020,0.00019,0.00018,0.00017,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00011,0.00010,0.00010,0.00009,0.00009,0.00009,0.00009,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005,0.00005,0.00004,0.00004,0.00004
"중위","여자","21세",0.00028,0.00027,0.00026,0.00025,0.00024,0.00023,0.00022,0.00022,0.00021,0.00020,0.00019,0.00018,0.00018,0.00017,0.00016,0.00016,0.00015,0.00014,0.00014,0.00013,0.00013,0.00013,0.00012,0.00012,0.00011,0.00011,0.00010,0.00010,0.00010,0.00009,0.00009,0.00009,0.00008,0.00008,0.00008,0.00008,0.00007,0.00007,0.00007,0.00007,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00005,0.00005,0.00005
